"date","month","type","total_in_tons"
"2021-11-30T00:00:00.000","November","E-Waste","13"
"2021-11-30T00:00:00.000","November","Haz Waste","0"
"2021-11-30T00:00:00.000","November","Recycled Tires","15"
"2021-11-30T00:00:00.000","November","Scrap Metal","332"
"2021-11-30T00:00:00.000","November","Bottle Bill","317"
"2021-11-30T00:00:00.000","November","Misc. Recycling","10"
"2021-11-30T00:00:00.000","November","Curb Recycling","1403"
"2021-10-31T00:00:00.000","October","Curb Recycling","1394"
"2021-10-31T00:00:00.000","October","Misc. Garbage","1247"
"2021-10-31T00:00:00.000","October","Curb Garbage","7753"
"2021-10-31T00:00:00.000","October","E-Waste","18"
"2021-10-31T00:00:00.000","October","Haz Waste","0"
"2021-10-31T00:00:00.000","October","Yard Waste","171"
"2021-10-31T00:00:00.000","October","Recycled Tires","25"
"2021-10-31T00:00:00.000","October","Scrap Metal","332"
"2021-10-31T00:00:00.000","October","Bottle Bill","317"
"2021-10-31T00:00:00.000","October","Misc. Recycling","10"
"2021-09-30T00:00:00.000","September","Misc. Recycling","10"
"2021-09-30T00:00:00.000","September","Misc. Garbage","1828"
"2021-09-30T00:00:00.000","September","Curb Garbage","8751"
"2021-09-30T00:00:00.000","September","E-Waste","13"
"2021-09-30T00:00:00.000","September","Haz Waste","0"
"2021-09-30T00:00:00.000","September","Yard Waste","131"
"2021-09-30T00:00:00.000","September","Recycled Tires","35"
"2021-09-30T00:00:00.000","September","Scrap Metal","332"
"2021-09-30T00:00:00.000","September","Bottle Bill","317"
"2021-09-30T00:00:00.000","September","Curb Recycling","1537"
"2021-08-31T00:00:00.000","August","Misc. Recycling","10"
"2021-08-31T00:00:00.000","August","Misc. Garbage","1994"
"2021-08-31T00:00:00.000","August","Curb Garbage","8844"
"2021-08-31T00:00:00.000","August","E-Waste","18"
"2021-08-31T00:00:00.000","August","Haz Waste","0"
"2021-08-31T00:00:00.000","August","Yard Waste","157"
"2021-08-31T00:00:00.000","August","Recycled Tires","22"
"2021-08-31T00:00:00.000","August","Scrap Metal","332"
"2021-08-31T00:00:00.000","August","Bottle Bill","317"
"2021-08-31T00:00:00.000","August","Curb Recycling","1464"
"2021-07-31T00:00:00.000","July","Bottle Bill","317"
"2021-07-31T00:00:00.000","July","Misc. Garbage","1028"
"2021-07-31T00:00:00.000","July","Curb Garbage","9227"
"2021-07-31T00:00:00.000","July","E-Waste","15"
"2021-07-31T00:00:00.000","July","Haz Waste","0"
"2021-07-31T00:00:00.000","July","Curb Recycling","1565"
"2021-07-31T00:00:00.000","July","Yard Waste","212"
"2021-07-31T00:00:00.000","July","Recycled Tires","30"
"2021-07-31T00:00:00.000","July","Scrap Metal","332"
"2021-07-31T00:00:00.000","July","Misc. Recycling","10"
"2021-06-30T00:00:00.000","June","Curb Recycling","1587"
"2021-06-30T00:00:00.000","June","Misc. Garbage","2024"
"2021-06-30T00:00:00.000","June","Curb Garbage","9293"
"2021-06-30T00:00:00.000","June","E-Waste","19"
"2021-06-30T00:00:00.000","June","Haz Waste","0"
"2021-06-30T00:00:00.000","June","Yard Waste","132"
"2021-06-30T00:00:00.000","June","Recycled Tires","13"
