"date","month","type","total_in_tons"
"2015-02-28T00:00:00.000","February","Scrap Metal","336"
"2015-02-28T00:00:00.000","February","Bottle Bill","317"
"2015-02-28T00:00:00.000","February","Curb Recycling","816"
"2015-01-31T00:00:00.000","January","Scrap Metal","338"
"2015-01-31T00:00:00.000","January","Misc. Garbage","1938"
"2015-01-31T00:00:00.000","January","Curb Garbage","5726"
"2015-01-31T00:00:00.000","January","E-Waste","17"
"2015-01-31T00:00:00.000","January","Haz Waste","0"
"2015-01-31T00:00:00.000","January","Misc. Recycling","2"
"2015-01-31T00:00:00.000","January","Yard Waste","0"
"2015-01-31T00:00:00.000","January","Curb Recycling","1141"
"2015-01-31T00:00:00.000","January","Recycled Tires","8"
"2015-01-31T00:00:00.000","January","Bottle Bill","317"
"2014-12-31T00:00:00.000","December","Misc. Garbage","66"
"2014-12-31T00:00:00.000","December","Curb Garbage","8511"
"2014-12-31T00:00:00.000","December","E-Waste","49"
"2014-12-31T00:00:00.000","December","Haz Waste","0"
"2014-12-31T00:00:00.000","December","Sidewalk Debris","417"
"2014-12-31T00:00:00.000","December","Asphalt Debris","5000"
"2014-12-31T00:00:00.000","December","Yard Waste","4544"
"2014-12-31T00:00:00.000","December","Recycled Tires","10"
"2014-12-31T00:00:00.000","December","Scrap Metal","444"
"2014-12-31T00:00:00.000","December","Bottle Bill","317"
"2014-12-31T00:00:00.000","December","Misc. Recycling","4872"
"2014-12-31T00:00:00.000","December","Curb Recycling","1505"
"2014-11-30T00:00:00.000","November","Curb Recycling","1058"
"2014-11-30T00:00:00.000","November","Misc. Garbage","80"
"2014-11-30T00:00:00.000","November","Curb Garbage","6530"
"2014-11-30T00:00:00.000","November","E-Waste","9"
"2014-11-30T00:00:00.000","November","Haz Waste","0"
"2014-11-30T00:00:00.000","November","Sidewalk Debris","417"
"2014-11-30T00:00:00.000","November","Asphalt Debris","5000"
"2014-11-30T00:00:00.000","November","Yard Waste","287"
"2014-11-30T00:00:00.000","November","Recycled Tires","11"
"2014-11-30T00:00:00.000","November","Scrap Metal","336"
"2014-11-30T00:00:00.000","November","Bottle Bill","317"
"2014-11-30T00:00:00.000","November","Misc. Recycling","4"
"2014-10-31T00:00:00.000","October","Misc. Recycling","4"
"2014-10-31T00:00:00.000","October","Misc. Garbage","163"
"2014-10-31T00:00:00.000","October","Curb Garbage","9776"
"2014-10-31T00:00:00.000","October","E-Waste","41"
"2014-10-31T00:00:00.000","October","Haz Waste","26"
"2014-10-31T00:00:00.000","October","Sidewalk Debris","417"
"2014-10-31T00:00:00.000","October","Asphalt Debris","5000"
"2014-10-31T00:00:00.000","October","Yard Waste","64"
"2014-10-31T00:00:00.000","October","Recycled Tires","20"
"2014-10-31T00:00:00.000","October","Scrap Metal","336"
"2014-10-31T00:00:00.000","October","Bottle Bill","317"
"2014-10-31T00:00:00.000","October","Curb Recycling","1324"
"2014-09-30T00:00:00.000","September","Misc. Recycling","2"
"2014-09-30T00:00:00.000","September","Misc. Garbage","167"
"2014-09-30T00:00:00.000","September","Curb Garbage","10628"
"2014-09-30T00:00:00.000","September","E-Waste","40"
